base_month,emd_nm,area,em_area_cd_cnt,resid_reg_pop,foreign_pop,d_visit_pop_cnt,l_visit_pop_cnt,s_visit_pop_cnt,pre_mm,base_month_1,base_month_10,base_month_11,base_month_12,base_month_2,base_month_3,base_month_4,base_month_5,base_month_6
7,건입동,2.53,30,8863.09,226.59,6504.78,214.63,1.48,246.1,0,0,0,0,0,0,0,0,0
7,구좌읍,185.93,104,15401,548.3,8437.43,206.88,1.66,235.4,0,0,0,0,0,0,0,0,0
7,남원읍,188.71,51,18714.16,625.33,6904.49,225.5,42.44,280.5,0,0,0,0,0,0,0,0,0
7,노형동,45.21,161,55434.17,2081.23,19582.41,670.4,4.56,246.1,0,0,0,0,0,0,0,0,0
7,대륜동,22.24,36,15094.48,192.24,7743.96,156.5,2.4,294.5,0,0,0,0,0,0,0,0,0
7,대정읍,78.63,84,21982.08,1571,7265.38,533.44,1.61,139.5,0,0,0,0,0,0,0,0,0
7,대천동,56.44,37,13868.32,179.46,5516.24,141.05,3.3,294.5,0,0,0,0,0,0,0,0,0
7,도두동,4.03,25,3320,87.45,3167.41,75,0.08,246.1,0,0,0,0,0,0,0,0,0
7,동홍동,14.3,49,23217.49,882.77,6909.2,141.31,2.63,217.4,0,0,0,0,0,0,0,0,0
7,봉개동,47.34,32,5240.93,81,4252.68,114.08,4.71,246.1,0,0,0,0,0,0,0,0,0
7,삼도1동,1.27,32,13491.24,138,5611.24,72.74,0.19,246.1,0,0,0,0,0,0,0,0,0
7,삼도2동,0.83,30,7920.73,250.59,5332.53,110.98,1.1,246.1,0,0,0,0,0,0,0,0,0
7,삼양동,9.53,73,25799.28,224,4742.98,51.96,0.39,246.1,0,0,0,0,0,0,0,0,0
7,서홍동,14.71,22,10973.09,126.93,3371.93,142.36,3.49,217.4,0,0,0,0,0,0,0,0,0
7,성산읍,91.09,58,15493.08,1459.76,8807.89,289.74,2.46,217.4,0,0,0,0,0,0,0,0,0
7,송산동,4.8,20,4033.98,466.34,1598.04,122.15,0.73,217.4,0,0,0,0,0,0,0,0,0
7,아라동,70.64,115,38535.7,1037,13198.09,251.75,5.71,244.5,0,0,0,0,0,0,0,0,0
7,안덕면,105.6,67,12233.83,503.01,10251.19,412.49,3.31,165.5,0,0,0,0,0,0,0,0,0
7,애월읍,202.16,149,37408.1,961,21892.33,926.22,38.04,204.5,0,0,0,0,0,0,0,0,0
7,영천동,46.33,35,5139.61,152.65,3596.53,172.31,4.63,217.4,0,0,0,0,0,0,0,0,0
7,예래동,37.3,17,3918.56,231.02,6959.99,162.64,1.64,164.5,0,0,0,0,0,0,0,0,0
7,오라동,28.74,81,15741.75,214.08,10851.95,162.89,0.84,246.1,0,0,0,0,0,0,0,0,0
7,외도동,2.56,64,22104.03,274,4517.32,81.34,0.36,223,0,0,0,0,0,0,0,0,0
7,용담1동,0.61,25,6915.93,88,3741.49,40.57,0.21,246.1,0,0,0,0,0,0,0,0,0
7,용담2동,4.93,58,14547.24,195.16,11185.45,208.62,1.39,246.1,0,0,0,0,0,0,0,0,0
7,이도1동,0.69,25,7526.81,130.31,8030.77,115.65,0.35,246.1,0,0,0,0,0,0,0,0,0
7,이도2동,5.4,118,49586.79,558.55,21949.95,267.25,2.16,246.1,0,0,0,0,0,0,0,0,0
7,이호동,2.56,33,4514.51,152.04,3256.41,79.98,0.17,223,0,0,0,0,0,0,0,0,0
7,일도1동,0.33,10,2451,77,2377.28,81.67,0.09,246.1,0,0,0,0,0,0,0,0,0
7,일도2동,2.18,81,32588.95,275,9050.99,97.19,0.46,246.1,0,0,0,0,0,0,0,0,0
7,정방동,0.44,10,2123.98,111.39,3630.84,176.52,0.85,217.4,0,0,0,0,0,0,0,0,0
7,조천읍,150.6,133,25487.37,524.14,12059.15,270.14,4.76,171,0,0,0,0,0,0,0,0,0
7,중문동,56.44,39,11565.6,305,5245.04,220.79,5.51,164.5,0,0,0,0,0,0,0,0,0
7,중앙동,0.35,5,3342.37,71.15,4218.95,102.73,0.32,217.4,0,0,0,0,0,0,0,0,0
7,천지동,1.39,11,3466,114.48,1774.32,70.96,0.2,217.4,0,0,0,0,0,0,0,0,0
7,표선면,135.16,47,12342.86,328.22,5964.39,131.68,3.53,243.5,0,0,0,0,0,0,0,0,0
7,한경면,79.1,69,9143.46,344.15,4060.11,287.14,1.02,121.7,0,0,0,0,0,0,0,0,0
7,한림읍,91.09,110,21216.62,3211.04,9859.04,549.9,2.41,158.5,0,0,0,0,0,0,0,0,0
7,화북동,8.29,76,24279.15,323.4,8763.49,76.52,0.45,246.1,0,0,0,0,0,0,0,0,0
7,효돈동,6.6,19,5257,56.39,1591.83,32.91,0.28,217.4,0,0,0,0,0,0,0,0,0
8,건입동,2.53,30,8841.04,226.59,6369.08,215.18,1.48,226.8,0,0,0,0,0,0,0,0,0
8,구좌읍,185.93,104,15401,543.8,8056.2,206.41,1.63,285,0,0,0,0,0,0,0,0,0
8,남원읍,188.71,51,18717.42,613.66,6904.49,284.44,42.44,319.5,0,0,0,0,0,0,0,0,0
8,노형동,45.21,161,55483.34,2074.45,19582.41,669.8,4.56,226.8,0,0,0,0,0,0,0,0,0
8,대륜동,22.24,36,15147.94,191.48,7743.96,156.5,2.5,314.5,0,0,0,0,0,0,0,0,0
8,대정읍,78.63,84,22003.54,1571,7265.38,533.44,1.61,247.5,0,0,0,0,0,0,0,0,0
8,대천동,56.44,37,13871.64,177.93,5427.72,141.05,3.3,314.5,0,0,0,0,0,0,0,0,0
8,도두동,4.03,25,3327,84.91,3167.41,75,0.08,226.8,0,0,0,0,0,0,0,0,0
8,동홍동,14.3,49,23229.98,870.51,6909.2,138.34,2.63,318.9,0,0,0,0,0,0,0,0,0
8,봉개동,47.34,32,5238.08,81,4179.78,114.08,4.71,226.8,0,0,0,0,0,0,0,0,0
8,삼도1동,1.27,32,13469.49,138,5611.24,74.01,0.19,226.8,0,0,0,0,0,0,0,0,0
8,삼도2동,0.83,30,7902.46,251.1,5294.98,111.21,1.1,226.8,0,0,0,0,0,0,0,0,0
8,삼양동,9.53,73,25801.56,224,4646.88,51.96,0.39,226.8,0,0,0,0,0,0,0,0,0
8,서홍동,14.71,22,11021.18,124.65,3371.93,142.36,3.16,318.9,0,0,0,0,0,0,0,0,0
8,성산읍,91.09,58,15500.66,1427.27,8559.45,291.04,2.46,416.8,0,0,0,0,0,0,0,0,0
8,송산동,4.8,20,4023.95,466.69,1566.61,128.45,0.73,318.9,0,0,0,0,0,0,0,0,0
8,아라동,70.64,115,38730.92,1037,13198.09,251.75,5.71,372.5,0,0,0,0,0,0,0,0,0
8,안덕면,105.6,67,12257.44,497.02,9793.38,412.49,3.34,284,0,0,0,0,0,0,0,0,0
8,애월읍,202.16,149,37479.21,961,21147.25,870.66,38.04,188,0,0,0,0,0,0,0,0,0
8,영천동,46.33,35,5133.23,150.3,3596.53,172.31,4.63,317.4,0,0,0,0,0,0,0,0,0
8,예래동,37.3,17,3915.29,225.03,6959.99,163.6,1.64,283,0,0,0,0,0,0,0,0,0
8,오라동,28.74,81,15735.5,212.17,10887.66,162.89,0.84,226.8,0,0,0,0,0,0,0,0,0
8,외도동,2.56,64,22122.05,274,4517.32,81.34,0.36,256.5,0,0,0,0,0,0,0,0,0
8,용담1동,0.61,25,6894.85,88,3741.49,40.57,0.21,226.8,0,0,0,0,0,0,0,0,0
8,용담2동,4.93,58,14519.49,192.31,11279.63,214.06,1.39,226.8,0,0,0,0,0,0,0,0,0
8,이도1동,0.69,25,7516.61,130.58,8030.77,117.12,0.35,226.8,0,0,0,0,0,0,0,0,0
8,이도2동,5.4,118,49630.69,552.67,21949.95,246.31,2.16,226.8,0,0,0,0,0,0,0,0,0
8,이호동,2.56,33,4502.64,149.08,3241.6,79.56,0.17,256.5,0,0,0,0,0,0,0,0,0
8,일도1동,0.33,10,2437,77,2372.05,81.53,0.09,226.8,0,0,0,0,0,0,0,0,0
8,일도2동,2.18,81,32531.9,275,9050.99,99.91,0.46,226.8,0,0,0,0,0,0,0,0,0
8,정방동,0.44,10,2115.95,110.78,3630.84,181.81,1.15,318.9,0,0,0,0,0,0,0,0,0
8,조천읍,150.6,133,25535.73,529.12,11806.05,275.35,4.76,257.5,0,0,0,0,0,0,0,0,0
8,중문동,56.44,39,11568.2,305,5084.49,221.91,5.51,283,0,0,0,0,0,0,0,0,0
8,중앙동,0.35,5,3326.73,70.29,4177.22,102.73,0.32,318.9,0,0,0,0,0,0,0,0,0
8,천지동,1.39,11,3466,114,1774.32,66.24,0.2,318.9,0,0,0,0,0,0,0,0,0
8,표선면,135.16,47,12339.36,322.43,5846.15,131.68,3.53,398.6,0,0,0,0,0,0,0,0,0
8,한경면,79.1,69,9123.75,344.15,4060.11,287.14,1.02,195.8,0,0,0,0,0,0,0,0,0
8,한림읍,91.09,110,21223.46,3192.08,9391.73,559.45,2.41,185,0,0,0,0,0,0,0,0,0
8,화북동,8.29,76,24258.29,317.66,8712.66,76.52,0.45,226.8,0,0,0,0,0,0,0,0,0
8,효돈동,6.6,19,5257,55.78,1569.59,32.91,0.28,317.4,0,0,0,0,0,0,0,0,0
9,효돈동,6.6,19,5257,55.78,1569.59,32.91,0.28,317.4,0,0,0,0,0,0,0,0,0
